CODE_CLIENT,SOCIETE,ADRESSE,VILLE,CODE_POSTAL,PAYS,TELEPHONE,FAX
ALFKI,Alfreds Futterkiste,Obere Str. 57,Berlin,12209,Allemagne,030-0074321,030-0076545
ANATR,Ana Trujillo Emparedados y helados,Avda. de la Constitución 2222,México D.F.,05021,Mexique,(5) 555-4729,(5) 555-3745
ANTON,Antonio Moreno Taquería,Mataderos  2312,México D.F.,05023,Mexique,(5) 555-3932,
AROUT,Around the Horn,120 Hanover Sq.,London,WA1 1DP,Royaume-Uni,(71) 555-7788,(71) 555-6750
BERGS,Berglunds snabbköp,Berguvsvägen  8,Luleå,S-958 22,Suède,0921-12 34 65,0921-12 34 67
BLAUS,Blauer See Delikatessen,Forsterstr. 57,Mannheim,68306,Allemagne,0621-08460,0621-08924
BLONP,Blondel père et fils,"24, place Kléber",Strasbourg,67000,France,03.88.60.15.31,03.88.60.15.32
BOLID,Bólido Comidas preparadas,"C/ Araquil, 67",Madrid,28023,Espagne,(91) 555 22 82,(91) 555 91 99
BONAP,Bon app',"12, rue des Bouchers",Marseille,13008,France,04.91.24.45.40,04.91.24.45.41
BOTTM,Bottom-Dollar Markets,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada,(604) 555-4729,(604) 555-3745
BSBEV,B's Beverages,Fauntleroy Circus,London,EC2 5NT,Royaume-Uni,(71) 555-1212,
CACTU,Cactus Comidas para llevar,Cerrito 333,Buenos Aires,1010,Argentine,(1) 135-5555,(1) 135-4892
CENTC,Centro comercial Moctezuma,Sierras de Granada 9993,México D.F.,05022,Mexique,(5) 555-3392,(5) 555-7293
CHOPS,Chop-suey Chinese,Hauptstr. 29,Bern,3012,Suisse,0452-076545,
COMMI,Comércio Mineiro,"Av. dos Lusíadas, 23",São Paulo,05432-043,Brésil,(11) 555-7647,
CONSH,Consolidated Holdings,Berkeley Gardens12  Brewery ,London,WX1 6LT,Royaume-Uni,(71) 555-2282,(71) 555-9199
DRACD,Drachenblut Delikatessen,Walserweg 21,Aachen,52066,Allemagne,0241-039123,0241-059428
DUMON,Du monde entier,"67, rue des Cinquante Otages",Nantes,44000,France,02.40.67.88.88,02.40.67.89.89
EASTC,Eastern Connection,35 King George,London,WX3 6FW,Royaume-Uni,(71) 555-0297,(71) 555-3373
ERNSH,Ernst Handel,Kirchgasse 6,Graz,8010,Autriche,7675-3425,7675-3426
FAMIA,Familia Arquibaldo,"Rua Orós, 92",São Paulo,05442-030,Brésil,(11) 555-9857,
FISSA,FISSA Fabrica Inter. Salchichas S.A.,"C/ Moralzarzal, 86",Madrid,28034,Espagne,(91) 555 94 44,(91) 555 55 93
FOLIG,Folies gourmandes,"184, chaussée de Tournai",Lille,59000,France,03.20.16.10.16,03.20.16.10.17
FOLKO,Folk och fä HB,Åkergatan 24,Bräcke,S-844 67,Suède,0695-34 67 21,
