NO_COMMANDE,REF_PRODUIT,PRIX_UNITAIRE,QUANTITE,REMISE
10248,11,70.00,12,0
10248,42,49.00,10,0
10248,72,174.00,5,0
10249,14,93.00,9,0
10249,51,212.00,40,0
10250,41,38.50,10,0
10250,51,212.00,35,0.15
10250,65,84.00,15,0.15
10251,22,84.00,6,0.05
10251,57,78.00,15,0.05
10251,65,84.00,20,0
10252,20,324.00,40,0.05
10252,33,10.00,25,0.05
10252,60,136.00,40,0
10253,31,50.00,20,0
10253,39,72.00,42,0
10253,49,80.00,40,0
10254,24,18.00,15,0.15
10254,55,96.00,21,0.15
10254,74,40.00,21,0
10255,2,76.00,20,0
10255,16,69.50,35,0
10255,36,76.00,25,0
10255,59,220.00,30,0
10256,53,131.00,15,0
10256,77,52.00,12,0
10257,27,175.50,25,0
10257,39,72.00,6,0
10257,77,52.00,15,0
10258,2,76.00,50,0.2
10258,5,85.00,65,0.2
10258,32,128.00,6,0.2
10259,21,40.00,10,0
10259,37,104.00,1,0
10260,41,38.50,16,0.25
10260,57,78.00,50,0
10260,62,197.00,15,0.25
10260,70,60.00,21,0.25
10261,21,40.00,20,0
10261,35,72.00,20,0
10262,5,85.00,12,0.2
10262,7,120.00,15,0
10262,56,152.00,2,0
10263,16,69.50,60,0.25
10263,24,18.00,28,0
10263,30,103.50,60,0.25
10263,74,40.00,36,0.25
10264,2,76.00,35,0
10264,41,38.50,25,0.15
10265,17,156.00,30,0
10265,70,60.00,20,0
10266,12,152.00,12,0.05
10267,40,73.50,50,0
10267,59,220.00,70,0.15
10267,76,72.00,15,0.15
10268,29,495.00,10,0
10268,72,139.00,4,0
10269,33,10.00,60,0.05
10269,72,139.00,20,0.05
10270,36,76.00,30,0
10270,43,184.00,25,0
10271,33,10.00,24,0
10272,20,324.00,6,0
10272,31,50.00,40,0
10272,72,139.00,24,0
10273,10,124.00,24,0.05
10273,31,50.00,15,0.05
10273,33,10.00,20,0
10273,40,73.50,60,0.05
10273,76,72.00,33,0.05
10274,71,86.00,20,0
10274,72,139.00,7,0
10275,24,18.00,12,0.05
10275,59,220.00,6,0.05
10276,10,124.00,15,0
10276,13,24.00,10,0
10277,28,182.00,20,0
10277,62,197.00,12,0
10278,44,77.50,16,0
10278,59,220.00,15,0
10278,63,175.50,8,0
10278,73,60.00,25,0
10279,17,156.00,15,0.25
10280,24,18.00,12,0
10280,55,96.00,20,0
10280,75,31.00,30,0
10281,19,36.50,1,0
10281,24,18.00,6,0
10281,35,72.00,4,0
10282,30,103.50,6,0
10282,57,78.00,2,0
10283,15,62.00,20,0
10283,19,36.50,18,0
10283,60,136.00,35,0
10283,72,139.00,3,0
10284,27,175.50,15,0.25
10284,44,77.50,21,0
10284,60,136.00,20,0.25
10284,67,56.00,5,0.25
10285,1,72.00,45,0.2
10285,40,73.50,40,0.2
10285,53,131.00,36,0.2
10286,35,72.00,100,0
10286,62,197.00,40,0
10287,16,69.50,40,0.15
10287,34,56.00,20,0
10287,46,48.00,15,0.15
10288,54,29.50,10,0.1
10288,68,50.00,3,0.1
10289,3,40.00,30,0
10289,64,133.00,9,0
10290,5,85.00,20,0
10290,29,495.00,15,0
10290,49,80.00,15,0
10290,77,52.00,10,0
10291,13,24.00,20,0.1
10291,44,77.50,24,0.1
10291,51,212.00,2,0.1
10292,20,324.00,20,0
10293,18,250.00,12,0
10293,24,18.00,10,0
10293,63,175.50,5,0
10293,75,31.00,6,0
10294,1,72.00,18,0
10294,17,156.00,15,0
