NO_FOURNISSEUR,SOCIETE,ADRESSE,VILLE,CODE_POSTAL,PAYS,TELEPHONE,FAX
1,Exotic Liquids,49 Gilbert St.,London,EC1 4SD,Royaume-Uni,(171) 555-2222,
2,Nouvelle-Orléans Cajun Delights,P.O. Box 78934,Nouvelle-Orléans,70117,Etats-Unis,(100) 555-4822,
3,Grandma Kelly's Homestead,707 Oxford Rd.,Ann Arbor,48104,Etats-Unis,(313) 555-5735,(313) 555-3349
4,Tokyo Traders,9-8 SekimaiMusashino-shi,Tokyo,100,Japon,(03) 3555-5011,
5,Cooperativa de Quesos 'Las Cabras',Calle del Rosal 4,Oviedo,33007,Espagne,(98) 598 76 54,
6,Mayumi's,92 SetsukoChuo-ku,Osaka,545,Japon,(06) 431-7877,
7,"Pavlova, Ltd.",74 Rose St.Moonie Ponds,Melbourne,3058,Australie,(059) 55-5450,(03) 444-6588
8,"Specialty Biscuits, Ltd.",29 King's Way,Manchester,M14 GSD,Royaume-Uni,(161) 555-4448,
9,PB Knäckebröd AB,Kaloadagatan 13,Göteborg,S-345 67,Suède,031-987 65 43,031-987 65 91
10,Refrescos Americanas LTDA,Av. das Americanas 12.890,São Paulo,5442,Brésil,(11) 555 4640,
11,Heli Süßwaren GmbH  Co. KG,Tiergartenstraße 5,Berlin,10785,Allemagne,(010) 9984510,
12,Plutzer Lebensmittelgroßmärkte AG,Bogenallee 51,Frankfurt,60439,Allemagne,(069) 992755,
13,Nord-Ost-Fisch Handelsgesellschaft mbH,Frahmredder 112a,Cuxhaven,27478,Allemagne,(04721) 8713,(04721) 8714
14,Formaggi Fortini s.r.l.,"Viale Dante, 75",Ravenna,48100,Italie,(0544) 60323,(0544) 60603
15,Norske Meierier,Hatlevegen 5,Sandvika,1320,Norvège,(0)2-953010,
16,Bigfoot Breweries,3400 - 8th AvenueSuite 210,Bend,97101,Etats-Unis,(503) 555-9931,
17,Svensk Sjöföda AB,Brovallavägen 231,Stockholm,S-123 45,Suède,08-123 45 67,
18,Aux joyeux ecclésiastiques,"203, Rue des Francs-Bourgeois",Paris,75004,France,01.03.83.00.68,01.03.83.00.62
19,New England Seafood Cannery,Order Processing Dept.2100 Paul Revere Blvd.,Boston,02134,Etats-Unis,(617) 555-3267,(617) 555-3389
20,Leka Trading,"471 Serangoon Loop, Suite #402",Singapore,0512,Singapour,555-8787,
21,Lyngbysild,LyngbysildFiskebakken 10,Lyngby,2800,Danemark,43844108,43844115
22,Zaanse Snoepfabriek,VerkoopRijnweg 22,Zaandam,9999 ZZ,Pays-Bas,(12345)1212,(12345) 1210
23,Karkki Oy,Valtakatu 12,Lappeenranta,53120,Finlande,(953) 10956,
24,"G'day, Mate",170 Prince Edward ParadeHunter's Hill,Sydney,2042,Australie,(02) 555-4873,(02) 555-4873
25,Ma Maison,2960 Rue St. Laurent,Montréal,H1J 1C3,Canada,(514) 555-9022,
26,Pasta Buttini s.r.l.,"Via dei Gelsomini, 153",Salerno,84100,Italie,(089) 6547665,(089) 6547667
27,Escargots Nouveaux,"22, rue H. Voiron",Montceau,71300,France,04.85.57.00.07,
28,Gai pâturage,"Bat. B3, rue des Alpes",Annecy,74000,France,04.38.76.98.06,04.38.76.98.58
29,Forêts d'érables,148 rue Chasseur,Ste-Hyacinthe,J2S 7S8,Canada,(514) 555-2955,(514) 555-2921
